Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
48211,My Mortal Enemy,Willa Cather,"Cather, Willa",,"=""0679731792""","=""9780679731795""",0,3.62,Vintage,Paperback,112,1990,1926,,2014/08/04,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
17573646,The Pomegranate Lady and Her Sons: Selected Stories,Goli Taraghi,"Taraghi, Goli",Sara Khalili,"=""039306333X""","=""9780393063332""",3,3.79,W. W. Norton  Company,Hardcover,323,2013,2013,2014/07/28,2014/07/25,,,read,,,,1,,,0,,,,,
13435445,How to Live Safely in a Science Fictional Universe,Charles Yu,"Yu, Charles",James Yaegashi,"=""1449834876""","=""9781449834876""",3,3.40,Recorded Books,Audio CD,7,2011,2010,2014/07/27,2014/07/24,,,read,"Imagine The Hitchhiker's Guide to the Galaxy, as narrated by Thursday Next.  So, no, it made absolutely no sense.  But was a fun ride.<br/>",,,1,,,0,,,,,
15740330,Sacre Blue,Christopher Moore,"Moore, Christopher",,"=""""","=""""",3,3.79,,,,,2012,2014/07/22,2014/06/27,book-club,book-club (#189),read,"The book was enjoyable and amusing, and kept you reading just so that you could figure out what the heck was going on here, and who was this strange colorman anyway?  But it was also somehow dissatisfying, because the answer, when it was finally given, didn't quite make logical sense.  Not that logic had anything whatsoever to do with this book.",,,1,,,0,,,,,
18492332,Functional Thinking,Neal Ford,"Ford, Neal",,"=""1449365515""","=""9781449365516""",3,3.36,O'Reilly Media,Paperback,325,2014,2014,2014/06/30,2014/06/03,"work, reference","work (#5), reference (#8)",read,"An overview, aimed squarely at Java programmers<br/><br/>I read the early release version, which contains some typos and is missing the finalized citations and images.  And apparently missing some connective tissue as well, as the transitions between sections are a bit choppy.<br/><br/>Despite the book's length, it is essentially an overview, with the principles of functional programming condensed into a couple of chapters, giving examples of functional code and contrasting it with imperative or OO code.<br/><br/>I liked that the functional code examples were in a variety of languages, giving a glimpse of the variety available, and letting the reader translate into the language of his/her own choice.   I disliked that<br/>all of the imperative code examples were in Java, which seems to be an awkward choice for imperative code, being so strictly OO.<br/><br/>A large chunk of the book was given to showing how to get functional languages to do OO sorts of things, and OO languages, specifically Java, to do functional things.  On one level this makes sense, as you would want to have the widest variety of tools available in whatever language you choose to use.  But on another it makes me feel uneasy, as if you're trying to get around the fact that you didn't choose the right language for the task in the first place.<br/><br/>I would recommend this book for programmers who grew up with Java, and know nothing else, as it will expose them to different ways of doing things.  But more experienced programmers would be less likely to learn much from it.",,,1,,,0,,,,,
9767909,The Mysterious Stranger,Mark Twain,"Twain, Mark",,"=""""","=""2940011893834""",0,4.13,Baxter St.,Nook,0,2010,1916,2014/06/29,2014/05/20,book-club,book-club (#190),read,,,,1,,,0,,,,,
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",3,3.92,"Little, Brown",Hardcover,771,2013,2013,2014/06/25,2014/05/20,book-club,book-club (#188),read,"I loved the first section. It was compelling and kept me eagerly reading, waiting to see what was about to happen. Theo was well depicted as a boy on the verge of adolescence, discovering a sudden interest in girls. And seeing the confusion and terror of the aftermath of the explosion through his eyes was outstanding.<br/><br/>But after that it stopped working so well. The writing was still good. There was just too much of it, with too much padding. So when, after slogging nearly to the bitter end, I read how Theo condensed the whole story - as much as possible - to tell to Hobie, I nearly cried. Why couldn't have Tartt done the same for us?<br/><br/>I think that, on the whole, this was a good book. But a brutal editor would have made it so much better.",,,1,,,0,,,,,
7445,The Glass Castle,Jeannette Walls,"Walls, Jeannette",,"=""074324754X""","=""9780743247542""",3,4.28,Scribner,Paperback,288,2006,2005,2014/06/24,2013/06/23,book-club,book-club (#169),read,"I had problems with this book, as I kept wanting to throttle the parents.  But after I decided to view it as fiction I was able to appreciate the writing.  I liked that her descriptions of her memories as a small child actually were child-like, and not colored by her later feelings as she grew disenchanted with her parents.",,,1,,,0,,,,,
13528478,"The Buzzard Table (Deborah Knott Mysteries, #18)",Margaret Maron,"Maron, Margaret",,"=""0446555827""","=""9780446555821""",3,3.90,Grand Central Publishing,Hardcover,320,2012,2012,,2013/12/17,mystery,mystery (#122),read,,,,1,,,0,,,,,
16631,Steppenwolf,Hermann Hesse,"Hesse, Hermann",Basil Creighton,"=""0140282580""","=""9780140282580""",4,4.13,Penguin,Paperback,256,1999,1927,,2014/06/23,,,read,,,,1,,,0,,,,,
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew    Ward,"=""""","=""""",5,3.98,Vintage International,Paperback,123,1989,1942,,2014/06/23,,,read,,,,1,,,0,,,,,
3876,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",4,3.82,Pan Books,Paperback,189,1957,1926,,2014/06/23,,,read,,,,1,,,0,,,,,
305200,The Book of Margery Kempe,Margery Kempe,"Kempe, Margery",Lynn Staley,"=""0393976394""","=""9780393976397""",0,3.27,W. W. Norton & Company,Paperback,328,2000,1438,,2014/06/23,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
370774,Revelations of Divine Love,Julian of Norwich,"Norwich, Julian of","Elizabeth Spearing, A.C. Spearing","=""0140446737""","=""9780140446739""",0,3.94,Penguin Classics,Paperback,240,1998,1393,,2014/06/23,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
151390,The Letters of Abélard and Héloïse,Pierre Abélard,"Abélard, Pierre","Héloïse d'Argenteuil, Betty Radice, M.T. Clanchy","=""0140448993""","=""9780140448993""",4,3.75,Penguin Books,Paperback,383,2003,1133,,2014/06/23,,,read,,,,1,,,0,,,,,
119079,The Lais of Marie de France,Marie de France,"France, Marie de","Keith Busby, Glyn S. Burgess","=""0140447598""","=""9780140447590""",4,3.86,Penguin Classics,Paperback,176,1999,1160,,2014/06/23,,,read,,,,1,,,0,,,,,
103390,The Song of Roland,Unknown,"Unknown, Unknown",Dorothy L. Sayers,"=""0140440755""","=""9780140440751""",4,3.54,Penguin Books,Paperback,208,1957,1100,,2014/06/23,,,read,,,,1,,,0,,,,,
52357,Beowulf,Unknown,"Unknown, Unknown",Seamus Heaney,"=""0393320979""","=""9780393320978""",5,3.45,W.W. Norton & Company,Paperback,245,2001,900,,2014/06/23,,,read,,,,1,,,0,,,,,
18486620,Claire of the Sea Light,Edwidge Danticat,"Danticat, Edwidge",,"=""""","=""""",5,3.65,,Audiobook,,,2013,2014/06/14,2013/11/30,,,read,"Pure poetry.<br/><br/>The book begins and ends on Claire's seventh birthday.  In between is a patchwork quilt, stitched together from the stories of Claire's neighbors and their recollections of the events of the previous ten years.  So you learn about about the town where they live gradually, as each person adds the layer of his or her own knowledge.",,,1,,,0,,,,,
1839,"Guns, Germs and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0393061310""","=""9780393061314""",4,4.03,W.W. Norton,Hardcover,518,2005,1997,,2013/07/27,,,read,,,,1,,,0,,,,,
